N_PV_hh,E_BESS_cap_kwh,E_TESS_cap_kwh,annual_cost_total_eur,annual_emissions_total_kg
7,0.06,39.99,3934.76,371.48
6,0.05,0.0,3426.17,408.47
27,0.12,0.0,2797.56,713.18
6,0.11,40.0,3976.68,360.62
39,0.04,0.0,2418.14,911.57
14,0.09,0.0,3187.0,510.7
15,0.06,0.0,3148.07,525.52
7,0.04,39.99,3930.42,371.57
6,0.17,0.0,3445.22,408.17
25,0.13,0.0,2859.18,680.83
3,0.16,40.0,4094.87,337.18
40,0.04,0.0,2388.0,928.28
7,0.06,0.0,3398.2,418.47
6,0.04,40.0,3964.62,360.78
3,0.21,40.0,4100.17,337.15
3,0.12,40.0,4090.38,337.21
7,0.07,40.0,3935.61,371.45
5,0.06,40.0,4001.17,351.23
29,0.01,0.0,2711.65,746.37
4,0.0,37.77,4026.26,347.0
4,0.21,0.0,3510.76,392.9
6,0.0,39.16,3956.0,362.15
37,0.11,0.0,2493.67,877.93
25,0.03,0.0,2837.06,681.3
13,0.04,0.0,3206.2,496.48
3,0.12,40.0,4090.38,337.21
13,0.06,0.0,3210.19,496.42
4,0.0,35.73,4022.32,350.33
15,0.02,0.0,3139.36,525.7
7,0.13,0.0,3410.82,418.25
23,0.06,0.0,2903.62,649.19
23,0.11,0.0,2915.67,648.9
19,0.1,0.0,3034.63,585.98
23,0.06,0.0,2904.65,649.14
17,0.1,0.0,3095.66,555.27
15,0.03,0.0,3141.69,525.62
37,0.02,0.0,2473.58,878.37
9,0.09,0.0,3339.08,441.99
20,0.13,0.0,3010.66,601.4
6,0.0,35.16,3949.27,368.34
3,0.06,40.0,4083.91,337.24
29,0.11,0.0,2734.6,745.85
15,0.1,0.0,3158.19,525.3
28,0.08,0.0,2757.28,729.68
39,0.11,0.0,2432.59,911.27
31,0.1,0.0,2672.01,778.69
5,0.0,37.94,3988.58,354.58
19,0.1,0.0,3036.19,585.94
15,0.1,0.0,3158.9,525.26
32,0.05,0.0,2630.59,795.44
28,0.0,0.0,2740.66,730.06
33,0.07,0.0,2605.29,811.8
16,0.01,0.0,3107.21,540.59
7,0.1,40.0,3941.93,371.35
3,0.0,39.03,4074.15,339.05
17,0.11,0.0,3098.87,555.22
18,0.13,0.0,3072.39,570.38
21,0.07,0.0,2966.17,617.43
7,0.0,39.19,3922.27,372.86
20,0.08,0.0,3000.03,601.61
31,0.03,0.0,2656.41,779.05
25,0.02,0.0,2834.85,681.38
9,0.12,0.0,3345.05,441.91
12,0.01,0.0,3228.66,482.6
38,0.02,0.0,2444.03,895.04
15,0.07,0.0,3151.3,525.43
26,0.01,0.0,2802.32,697.55
15,0.04,0.0,3143.61,525.6
21,0.01,0.0,2954.21,617.73
16,0.04,0.0,3113.58,540.41
20,0.03,0.0,2988.35,601.89
5,0.0,37.83,3988.38,354.75
27,0.1,0.0,2791.88,713.32
8,0.14,0.0,3380.45,429.52
16,0.04,0.0,3113.58,540.41
25,0.08,0.0,2849.0,681.02
30,0.08,0.0,2697.82,762.34
8,0.14,0.0,3381.52,429.5
26,0.13,0.0,2830.17,696.93
16,0.08,0.0,3121.86,540.24
